62	AU	40
62	CL	1
62	CR	4
62	NZ	3
62	PA	1
529	CM	1
529	EC	1
529	MG	2
839		3
839	AQ	33
839	AR	3
839	CA	33
839	FK	1
839	GB	1
839	GS	5
839	MX	14
839	TF	1
839	US	8055
1078	US	1
1226	ZA	9
1496	AU	197
1496	AW	8
1496	BE	1
1496	BR	5
1496	BW	1
1496	CA	365
1496	CM	4
1496	CN	5
1496	CO	270
1496	CR	2
1496	CX	3
1496	DE	383
1496	DM	2
1496	FJ	42
1496	FM	1
1496	GA	1
1496	GB	189
1496	GF	54
1496	GP	1
1496	GQ	8
1496	GT	39
1496	GY	24
1496	HN	21
1496	JP	7
1496	KE	1
1496	KY	4
1496	MG	5
1496	MM	2
1496	MX	140
1496	MY	2
1496	MZ	3
1496	NA	2
1496	NC	5
1496	NI	70
1496	NO	8
1496	NZ	28
1496	PA	21
1496	PF	90
1496	PG	3
1496	PW	4
1496	SE	1270
1496	TH	57
1496	UG	2
1496	US	1165
1496	VC	3
1496	VI	1
1496	ZA	88
1000461	BO	5
1000461	DE	2
1000461	NL	314
1000461	NO	1353
1000491	NL	1
1000491	ZA	3
1000606	NL	181
1000606	NO	77
1000607	NL	68
1000607	NO	713
1001558	BO	1
1001594	GB	1
1001904	NL	4
1001914	NL	1
1001914	US	1
1001955	GB	1
1001955	NL	63
1001960	BO	1
1001972	NL	3
1001974	NL	4
1001981	US	1
1002109	NL	8
1002276	US	1
1002447	US	1
1002473	BR	1
1003102	NL	2
1003105	BE	2
1003105	NL	27
1003109	NL	29
1003112	BR	1
1003112	CO	2
1003112	DE	1
1003112	GB	4
1003112	NL	268
1003112	NO	1348
1003113	AT	1
1003113	BE	3
1003113	BO	1
1003113	CH	1
1003113	GB	2
1003113	IT	1
1003113	NL	667
1003113	NO	2
1003116	BE	1
1003116	NL	186
1003117	BE	5
1003117	DE	3
1003117	NL	315
1003117	NO	1
1003169	DE	2
1003169	GB	2
1003169	NO	9
1003173	NZ	1
1003206	GB	2
1003206	NL	24
1003359	NL	2
1003510	BO	1
1003640	ZA	1
1003710	NZ	1
1003710	TO	1
1003807	NZ	4
1003854	US	3
1003855	GL	3
1003855	SJ	2
1003861	AQ	1
1003861	AU	6
1003861	SE	1
1003881	AU	2
1003882	NZ	1
1003883	AU	2
1003885	GB	2
1003885	IE	1
1003888	AQ	2
1003888	AU	15
1003888	BR	1
1003888	DK	1
1003888	FK	2
1003888	GB	848
1003888	GG	3
1003888	GU	1
1003888	IE	5
1003888	IT	1
1003888	JP	1
1003888	MH	1
1003888	NO	8
1003888	NZ	9
1003888	PF	9
1003888	SE	44
1003888	US	9
1003918	US	3
1003949	NZ	3
1003956	ES	1
1005677		1
1005677	AU	84
1005677	NZ	4
1005677	US	92
1010034	AE	3
1010034	AU	4
1010034	HR	1
1010034	US	396
1010076	AU	49
1010076	BM	2
1010076	BR	1
1010076	GB	108
1010076	GG	2
1010076	IE	1
1010076	NO	4
1010076	SD	3
1010076	SE	12
1010076	US	158
1010205	NZ	1
1010205	US	23
1010205	VI	1
1013547	CA	10
1013547	CL	2
1013547	DE	68
1013547	GB	908
1013547	IE	224
1013547	IM	1
1013547	NL	14
1013547	NO	88
1013547	SE	10
1013547	US	9
